id,updated,output_folder
https://domo-support.domo.com/s/article/360043428273,2023-04-30 19:45:59.763533,../../raw_kb_v2\article\360043428273
https://domo-support.domo.com/s/article/360042923774,2023-04-30 19:46:03.237024,../../raw_kb_v2\article\360042923774
https://domo-support.domo.com/s/article/360042923814,2023-04-30 19:46:06.199205,../../raw_kb_v2\article\360042923814
https://domo-support.domo.com/s/article/360043428253,2023-04-30 19:46:09.447269,../../raw_kb_v2\article\360043428253
https://domo-support.domo.com/s/article/360042923254,2023-04-30 19:46:12.544935,../../raw_kb_v2\article\360042923254
https://domo-support.domo.com/s/article/360042923614,2023-04-30 19:46:15.227236,../../raw_kb_v2\article\360042923614
https://domo-support.domo.com/s/article/360042923294,2023-04-30 19:46:18.251723,../../raw_kb_v2\article\360042923294
https://domo-support.domo.com/s/article/360043428613,2023-04-30 19:46:21.271030,../../raw_kb_v2\article\360043428613
https://domo-support.domo.com/s/article/4529227357975,2023-04-30 19:46:23.912856,../../raw_kb_v2\article\4529227357975
https://domo-support.domo.com/s/article/360042932994,2023-04-30 19:46:27.017540,../../raw_kb_v2\article\360042932994
https://domo-support.domo.com/s/article/360042933074,2023-04-30 19:46:30.110412,../../raw_kb_v2\article\360042933074
https://domo-support.domo.com/s/topic/0TO5w000000ZapOGAS,2023-04-30 19:46:31.656684,../../raw_kb_v2\category\0TO5w000000ZapOGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZapBGAS,2023-04-30 19:46:33.026387,../../raw_kb_v2\category\0TO5w000000ZapBGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZaoeGAC,2023-04-30 19:46:34.378888,../../raw_kb_v2\category\0TO5w000000ZaoeGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZaoUGAS,2023-04-30 19:46:36.865717,../../raw_kb_v2\category\0TO5w000000ZaoUGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZaodGAC,2023-04-30 19:46:38.314380,../../raw_kb_v2\category\0TO5w000000ZaodGAC
https://domo-support.domo.com/s/article/360043430233,2023-04-30 19:46:41.330450,../../raw_kb_v2\article\360043430233
https://domo-support.domo.com/s/article/360042925654,2023-04-30 19:46:44.379085,../../raw_kb_v2\article\360042925654
https://domo-support.domo.com/s/article/360042925594,2023-04-30 19:46:46.860912,../../raw_kb_v2\article\360042925594
https://domo-support.domo.com/s/article/360043430193,2023-04-30 19:46:49.455197,../../raw_kb_v2\article\360043430193
https://domo-support.domo.com/s/article/360042925634,2023-04-30 19:46:52.577069,../../raw_kb_v2\article\360042925634
https://domo-support.domo.com/s/article/360043430213,2023-04-30 19:46:55.123539,../../raw_kb_v2\article\360043430213
https://domo-support.domo.com/s/article/360042925614,2023-04-30 19:46:58.175939,../../raw_kb_v2\article\360042925614
https://domo-support.domo.com/s/article/360042925694,2023-04-30 19:47:00.725874,../../raw_kb_v2\article\360042925694
https://domo-support.domo.com/s/article/360042925674,2023-04-30 19:47:03.776935,../../raw_kb_v2\article\360042925674
https://domo-support.domo.com/s/article/360043430253,2023-04-30 19:47:06.313189,../../raw_kb_v2\article\360043430253
https://domo-support.domo.com/s/article/360046752694,2023-04-30 19:47:09.328173,../../raw_kb_v2\article\360046752694
https://domo-support.domo.com/s/article/360043430033,2023-04-30 19:47:15.177120,../../raw_kb_v2\article\360043430033
https://domo-support.domo.com/s/article/360043430053,2023-04-30 19:47:18.242811,../../raw_kb_v2\article\360043430053
https://domo-support.domo.com/s/article/4408174643607,2023-04-30 19:47:21.417598,../../raw_kb_v2\article\4408174643607
